ckt,Lock Method,key_bit,Attack Method,Key Found,key,Iteration,Time (s)
c1908,rll,8k,SAT,Success,01111000,1,0.02632880210876465
c432,libar,8k,SAT,Failed,-,-,-
c1908,rll,8k,APPSAT,Success,00000000,1,0.0992896556854248
c432,rll,8k,SAT,Success,10110010,8,0.39507317543029785
c1355,rll,8k,SAT,Success,10110010,9,0.363675594329834
c1355,antisat,8k,SAT,Success,00000000,16,0.8654398918151855
c432,antisat,8k,SAT,Success,00000000,16,0.5898878574371338
c432,rll,8k,APPSAT,Success,10100010,6,2.020937442779541
c3540,rll,8k,SAT,Success,10110010,5,0.5224189758300781
c1355,libar,8k,SAT,Failed,-,-,-
c432,libar,8k,APPSAT,Failed,-,-,-
c432,rll,8k,SWEEP,Success,10110010,6,1.0240342617034912
c1355,rll,8k,APPSAT,Success,10110010,3,2.4261276721954346
c432,antisat,8k,APPSAT,Success,00010001,16,4.0593860149383545
c1908,antisat,8k,SAT,Success,00100010,16,1.4429452419281006
c1355,antisat,8k,APPSAT,Success,01100110,16,5.306872844696045
c1908,rll,8k,SWEEP,Memory Limit Crossed,-,-,-
c1908,libar,8k,SAT,Success,00000000,2,0.3234837055206299
c432,antisat,8k,SWEEP,Success,00000000,16,1.361198902130127
c432,libar,8k,SWEEP,Failed,-,-,-
c3540,rll,8k,APPSAT,Success,10110010,7,1.3021290302276611
c3540,antisat,8k,SAT,Success,00010001,16,1.7347726821899414
c6288,libar,8k,SAT,Failed,-,-,-
c1355,rll,8k,SWEEP,Memory Limit Crossed,-,-,-
c1908,libar,8k,APPSAT,Success,00000000,2,0.3383910655975342
c3540,libar,8k,SAT,Failed,-,-,-
c1908,antisat,8k,APPSAT,Success,00000000,16,9.344995975494385
c3540,rll,8k,SWEEP,Memory Limit Crossed,-,-,-
c1908,antisat,8k,SWEEP,Memory Limit Crossed,-,-,-
c3540,antisat,8k,APPSAT,Success,01010101,16,9.654358863830566
c1355,libar,8k,APPSAT,Failed,-,-,-
c3540,libar,8k,APPSAT,Failed,-,-,-
c1908,rll,8k,SAT,Success,01111000,1,0.026373863220214844
c432,rll,8k,SAT,Success,10110010,8,0.2742424011230469
c432,libar,8k,SAT,Failed,-,-,-
c1908,rll,8k,APPSAT,Success,00000000,1,0.7528703212738037
c432,antisat,8k,SAT,Success,00000000,16,0.7123088836669922
c432,rll,8k,APPSAT,Success,10100010,6,1.6597404479980469
c432,antisat,8k,APPSAT,Success,00010001,16,1.2624690532684326
c3540,rll,8k,SAT,Success,10110010,5,0.4347951412200928
c1355,rll,8k,SAT,Success,10110010,9,0.9799540042877197
c1355,antisat,8k,SAT,Success,00000000,16,1.7377243041992188
c432,libar,8k,APPSAT,Failed,-,-,-
c1908,antisat,8k,SAT,Success,00100010,16,1.8262481689453125
c1355,rll,8k,APPSAT,Success,10110010,3,3.5581815242767334
c1908,libar,8k,SAT,Success,00000000,2,0.40555715560913086
c3540,antisat,8k,SAT,Success,00010001,16,1.4066073894500732
c1355,libar,8k,SAT,Failed,-,-,-
c3540,rll,8k,APPSAT,Success,10110010,7,1.685502529144287
c1355,antisat,8k,APPSAT,Success,01100110,16,9.82760214805603
c3540,libar,8k,SAT,Failed,-,-,-
c6288,libar,8k,SAT,Failed,-,-,-
c1908,antisat,8k,APPSAT,Success,00000000,16,13.57573914527893
c1908,libar,8k,APPSAT,Success,00000000,2,1.8795890808105469
c3540,libar,8k,APPSAT,Failed,-,-,-
c3540,antisat,8k,APPSAT,Success,01010101,16,13.382116556167603
c432,cac,8k,SAT,Success,10011001,255,13.941128492355347
c1355,libar,8k,APPSAT,Failed,-,-,-
c6288,libar,8k,APPSAT,Failed,-,-,-
c432,sarlock,8k,SAT,Success,10110010,255,14.304194927215576
c6288,rll,8k,SAT,Success,10110010,1,0.1888117790222168
c1355,sarlock,8k,SAT,Success,10110010,255,48.03474545478821
c1908,cac,8k,SAT,Success,10011001,255,43.26949882507324
c6288,rll,8k,APPSAT,Failed,-,-,-
c1908,sarlock,8k,SAT,Success,10110010,255,43.38177752494812
c432,cac,8k,APPSAT,Success,00111011,254,104.24250054359436
c1355,cac,8k,SAT,Success,10011001,255,52.29322624206543
c432,sarlock,8k,APPSAT,Success,10110010,254,100.83880257606506
c6288,cac,8k,SAT,time limit crossed,-,-,-
c6288,antisat,8k,SAT,time limit crossed,-,-,-
c6288,sarlock,8k,SAT,time limit crossed,-,-,-
c3540,sarlock,8k,SAT,time limit crossed,-,-,-
c3540,cac,8k,SAT,time limit crossed,-,-,-
